feature_id,feature_name,family,readiness,key_dependency_coverage,blockers,unblocking_action
F-012,person_financial_strain,financial_pressure,partial,"people_profiles.agg_credit_tier, card_balance, buying_power(OD-5), spender_type, est_household_income band",loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-013,open_lien_pressure,legal_title_pressure,ready,"property_liens rows with category groups, amounts, dates; releases netted; TotalOpenLienNbr checksum","liens.csv 4,121 docs with full type taxonomy; release netting specified; NOD/NOS amounts dormant",none — implementable in Phase 3
F-014,litigation_pendency,legal_title_pressure,ready,property_liens litigation group; lien_parties owner-side match,"liens.csv 4,121 docs with full type taxonomy; release netting specified; NOD/NOS amounts dormant",none — implementable in Phase 3
F-015,title_complexity,legal_title_pressure,ready,"property_liens context groups; deed history (land contract, ground lease)","liens.csv 4,121 docs with full type taxonomy; release netting specified; NOD/NOS amounts dormant",none — implementable in Phase 3
F-016,hoa_pressure,legal_title_pressure,ready,property_liens hoa rows + hoa_lien_amount; HOA fee value×frequency annualized; hoa_lien flag,"liens.csv 4,121 docs with full type taxonomy; release netting specified; NOD/NOS amounts dormant",none — implementable in Phase 3
F-017,support_or_government_lien,legal_title_pressure,ready,property_liens SUP/FLN/SLN/LENDOJ,"liens.csv 4,121 docs with full type taxonomy; release netting specified; NOD/NOS amounts dormant",none — implementable in Phase 3
F-018,foreclosure_stage,foreclosure_urgency,thin,"property_foreclosure_events.document_type, default_date, auction_date; preforeclosure_type; flags corroborate",RED docs 244; state redemption windows need statute table,usable with coverage gating; widen capture
F-019,days_to_auction,foreclosure_urgency,thin,property_foreclosure_events.auction_date,stage detection ready; depth amounts 65-96 rows; ~1% payload coverage,usable with coverage gating; widen capture
F-020,default_depth,foreclosure_urgency,thin,"property_foreclosure_events.unpaid_balance, auction_minimum_bid_amount; estimated_value",stage detection ready; depth amounts 65-96 rows; ~1% payload coverage,usable with coverage gating; widen capture
F-021,redemption_window,foreclosure_urgency,thin,property_liens RED/redemption docs; sold-for-taxes price qualifier,stage detection ready; depth amounts 65-96 rows; ~1% payload coverage,usable with coverage gating; widen capture
F-022,vacancy,property_distress,ready,property_signals.is_vacant (= vacant_home ∪ zombie flags); usps-style vendor flags,tax delinquency + vacancy + municipal liens well covered,none — implementable in Phase 3
F-023,tax_delinquency,property_distress,ready,TaxDelinquent + TaxDelinquentYear + tax_delinquent flag; TaxAmt vs value,tax delinquency + vacancy + municipal liens well covered,none — implementable in Phase 3
F-024,utility_municipal_liens,property_distress,ready,property_liens LENCNT/LENUTL/LENSWR/LENCTY,tax delinquency + vacancy + municipal liens well covered,none — implementable in Phase 3
F-025,condition_grade,property_distress,thin,"building_condition (ordinal), building_quality grade; effective vs actual year built gap",baseline fields only (rule 9),usable with coverage gating; widen capture
F-026,effective_age,physical_obsolescence,partial,year_built; EffectiveYearBuilt,condition 75.6% cov (24% Unknown-state); systems fields presence/type conflated; repair baseline is rule-9 baseline only,guards + validation specified in QA plan
F-027,systems_obsolescence,physical_obsolescence,partial,"heating type/fuel, AC presence-type, roof cover/type, construction, basement finish",condition 75.6% cov (24% Unknown-state); systems fields presence/type conflated; repair baseline is rule-9 baseline only,guards + validation specified in QA plan
F-028,functional_layout_deficit,physical_obsolescence,partial,"total_bedrooms/baths (outlier-guarded), building_square_feet, stories, units_count",condition 75.6% cov (24% Unknown-state); systems fields presence/type conflated; repair baseline is rule-9 baseline only,guards + validation specified in QA plan
F-029,repair_cost_baseline,physical_obsolescence,partial,estimated_repair_cost(_per_sqft) [keep_baseline],condition 75.6% cov (24% Unknown-state); systems fields presence/type conflated; repair baseline is rule-9 baseline only,guards + validation specified in QA plan
F-030,tired_landlord_composite,landlord_fatigue,partial,tired_landlord flag; absentee/out_of_state; renter person-links; length of ownership; eviction-adjacent liens,absentee/distance ready; rental confirmation depends on renter links (QA-verified),guards + validation specified in QA plan
F-031,owner_distance,landlord_fatigue,partial,owner_address_* geocoded vs property lat/long; out_of_state_owner flag,absentee/distance ready; rental confirmation depends on renter links (QA-verified),guards + validation specified in QA plan
F-032,assignment_of_rents_activity,landlord_fatigue,partial,property_liens ASR/ASRREL/ASRASN,absentee/distance ready; rental confirmation depends on renter links (QA-verified),guards + validation specified in QA plan
F-033,portfolio_scale,portfolio_behavior,partial,"owner_portfolio_holdings.portfolio_total_properties_owned (cap guards), other_property_count, linked_properties",portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-034,portfolio_leverage,portfolio_behavior,partial,portfolio_total_equity / portfolio_total_mortgage_balance / portfolio_value with robust clipping,portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-035,liquidation_motion,portfolio_behavior,partial,linked_properties transaction history; recently_sold flags across holdings,portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-036,estate_probate_state,ownership_complexity,ready,AFD/PRO docs; date_of_death; estate deed types; owner vesting estate/surviving-spouse,vesting decomposition + estate docs + OD-2 classification model specified,none — implementable in Phase 3
F-037,entity_layering,ownership_complexity,ready,vesting decompose; corp/trust signals; companies status+officers(dormant); property_company_links,vesting decomposition + estate docs + OD-2 classification model specified,none — implementable in Phase 3
F-038,fractional_or_multiparty,ownership_complexity,ready,owner_2 presence; vesting TIC/joint; et-al; lien multi-party owner-side,vesting decomposition + estate docs + OD-2 classification model specified,none — implementable in Phase 3
F-039,life_estate_split,ownership_complexity,ready,vesting life-estate roles,vesting decomposition + estate docs + OD-2 classification model specified,none — implementable in Phase 3
F-040,decision_maker_link,authority_confidence,blocked-partial,person_flags.primary_decision_maker; matching_flags Likely Owner; person_type(OD-6),officers table DORMANT (empty source); trustee/fiduciary evidence present,dormant activation on first populated batch
F-041,entity_signing_authority,authority_confidence,blocked-partial,companies.current_status normalized; company_officers (dormant); matched_party,officers table DORMANT (empty source); trustee/fiduciary evidence present,dormant activation on first populated batch
F-042,fiduciary_present,authority_confidence,blocked-partial,vesting fiduciary roles; POA docs; lien_parties administrator/executor,officers table DORMANT (empty source); trustee/fiduciary evidence present,dormant activation on first populated batch
F-043,person_property_link_strength,identity_confidence,ready,matching_type tier; matching_flags; in_owner_family; is_matching_property_as_owner; name-match owner strings,QA cross-tab done; 61% keyless contacts documented; tiers specified,none — implementable in Phase 3
F-044,person_identity_key_coverage,identity_confidence,ready,individual_key parse success; household_id; name+address hash,QA cross-tab done; 61% keyless contacts documented; tiers specified,none — implementable in Phase 3
F-045,cross_source_agreement,identity_confidence,ready,link-validation repeats (address/APN/owner_hash) vs properties,QA cross-tab done; 61% keyless contacts documented; tiers specified,none — implementable in Phase 3
F-046,reachable_phone_stack,contactability,ready,contact_phones value/type/carrier-line-type/rank/DNC/never_call; RND & litigator tokens,phones/emails + compliance gates fully covered,none — implementable in Phase 3
F-047,deliverable_email_stack,contactability,ready,contact_emails value/linkage_score/verification tier/blocked; email_1_last_seen_date,phones/emails + compliance gates fully covered,none — implementable in Phase 3
F-048,language_routing,contactability,ready,people_profiles.language_preference,phones/emails + compliance gates fully covered,none — implementable in Phase 3
F-049,mailing_address_quality,contactability,ready,owner_address_* completeness; care-of; foreclosure mailing address as corroboration,phones/emails + compliance gates fully covered,none — implementable in Phase 3
F-050,pressure_to_equity_ratio,discount_potential,partial,lien+tax+foreclosure pressure amounts; estimated_equity,depends on comp spreads (Comp V4 dev-gated) + equity guards,guards + validation specified in QA plan
F-051,prior_non_market_transfer,discount_potential,partial,transaction document groups + price qualifiers; PrevSale distress evidence,depends on comp spreads (Comp V4 dev-gated) + equity guards,guards + validation specified in QA plan
F-052,condition_discount_headroom,discount_potential,partial,condition grade; systems obsolescence; vacancy,depends on comp spreads (Comp V4 dev-gated) + equity guards,guards + validation specified in QA plan
F-053,clear_path_to_close,dealability,partial,title complexity; entity status; estate stage; redemption windows; leasehold docs,title/authority gates ready; occupancy at close depends on link QA,guards + validation specified in QA plan
F-054,occupancy_disposition,dealability,partial,is_vacant; renter links; owner_location,title/authority gates ready; occupancy at close depends on link QA,guards + validation specified in QA plan
F-055,seller_finance_openness_proxy,dealability,partial,free_and_clear; seller-financed loan groups in history; land contracts,title/authority gates ready; occupancy at close depends on link QA,guards + validation specified in QA plan
F-056,local_dom_velocity,market_liquidity,blocked,market_feature_snapshots (comp engine); property_listing_snapshots.days_on_market corroborates,"REQUIRES market_feature_snapshots from comp engine (V4 dev-gated, not prod)",comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-057,price_band_liquidity,market_liquidity,blocked,estimated_value vs market snapshot price-band volumes,"REQUIRES market_feature_snapshots from comp engine (V4 dev-gated, not prod)",comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-058,investor_buyer_pressure,buyer_demand,blocked,intel_* buyer-match rollups; buyer_purchase_events_v2 (6-state coverage caveat),buyer intel exit-mix requires flip/rental labeling,comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-059,flip_rental_exit_spread,buyer_demand,blocked,buyer intel; comps recent flips vs rentals,buyer intel geographic coverage gaps (no TN; TX-skew; estimated_value corrupted in buyer events),comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-060,expected_spread,expected_economic_value,blocked,estimated_value(comp-supersedes); loan balances; lien payoffs; repair class; local spreads,downstream of comp engine + repair + payoff completeness,comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-061,deal_size_band,expected_economic_value,blocked,expected_spread; portfolio multi-deal potential,downstream of comp engine + repair + payoff completeness,comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-062,confidence_discounted_value,expected_economic_value,blocked,expected_spread; identity/authority/link confidences,downstream of comp engine + repair + payoff completeness,comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-101,agg_conflict_loan_count,data_quality_confidence,ready,property_loans slots; properties.NumOfMortgages (fallback),computable from existing profiles + child records at ingest,none — implementable in Phase 3
F-102,agg_conflict_loan_totals,data_quality_confidence,ready,property_loans slots; TotalLoan* checksums,computable from existing profiles + child records at ingest,none — implementable in Phase 3
F-103,agg_conflict_open_liens,data_quality_confidence,ready,property_liens episodes; TotalOpenLienNbr,computable from existing profiles + child records at ingest,none — implementable in Phase 3
F-104,corp_class_conflict,data_quality_confidence,ready,"ownership classification rows (corp_owner, is_corporate_owner, owner_status, is_trust, vesting)",computable from existing profiles + child records at ingest,none — implementable in Phase 3
F-105,portfolio_magnitude_guard,data_quality_confidence,ready,owner_portfolio_holdings totals,computable from existing profiles + child records at ingest,none — implementable in Phase 3
F-110,link_evidence_tier,identity_confidence,ready,matching_flags tokens; matching_type; is_matching_property_as_owner; person_flags owner/renter,OD-13 QA complete — tokens verified operative,none — implementable in Phase 3
F-111,link_scalar_corroboration,identity_confidence,ready,prospects.likely_owner + per-batch liveness monitor,subset semantics verified; liveness monitor required,none — implementable in Phase 3
F-112,renter_block,identity_confidence,ready,person_flags.renter; homeowner H/R,QA cross-tab done; 61% keyless contacts documented; tiers specified,none — implementable in Phase 3
F-113,link_evidence_stability,data_quality_confidence,ready,batch-level population rates of link fields,computable from existing profiles + child records at ingest,none — implementable in Phase 3
F-120,income_tier_normalized,financial_pressure,partial,est_household_income band (code) + cohort cost context,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-121,net_asset_tier,financial_pressure,partial,net_asset_value band,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-122,buying_power_tier_versioned,financial_pressure,blocked,buying_power (OD-5 dual families kept as separate versions),OD-5 vendor answer pending — version partition until then,comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-123,credit_tier,financial_pressure,partial,agg_credit_tier ordinal,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-124,investments_profile,portfolio_behavior,partial,investments boolean + investment_type tokens,portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-125,business_owner_indicator,portfolio_behavior,partial,business_owner + home_business + person_flags,portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-126,residence_duration,portfolio_behavior,partial,length_of_residence (years; 1 may mean <=1; cap 52),portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-127,portfolio_ownership_indicator,portfolio_behavior,partial,portfolio counts + owner_has_multiple_properties fallback,portfolio present on 51.6% batch; magnitudes need guards; holdings link resolution pending,guards + validation specified in QA plan
F-130,value_percentile_in_cohort,market_liquidity,blocked,estimated_value; cohort stats (NORM §2),"REQUIRES market_feature_snapshots from comp engine (V4 dev-gated, not prod)",comp engine promotion / vendor answer / outcome join (see P2 open decisions)
F-131,tax_burden_ratio,financial_pressure,partial,TaxAmt; estimated_value; cohort medians,loan balances 100% cov but blanket-loan tail; equity sentinels; person tiers pending OD-11 validation,guards + validation specified in QA plan
F-132,repair_ratio_normalized,physical_obsolescence,partial,condition/systems classes; comp spreads,condition 75.6% cov (24% Unknown-state); systems fields presence/type conflated; repair baseline is rule-9 baseline only,guards + validation specified in QA plan
F-133,holding_period_appreciation,seller_propensity,partial,transactions[current] price+qualifier; estimated_value; cohort appreciation,transactions 87% cov; life-event docs sparse but clean; listing history 2% cov,guards + validation specified in QA plan
F-134,cash_purchase_indicator,seller_propensity,partial,transactions[current]; absence of concurrent loan at acquisition,transactions 87% cov; life-event docs sparse but clean; listing history 2% cov,guards + validation specified in QA plan
F-135,release_recency_positive,legal_title_pressure,ready,lien episodes closed by release; release dates,"liens.csv 4,121 docs with full type taxonomy; release netting specified; NOD/NOS amounts dormant",none — implementable in Phase 3
F-136,episode_resolution_recency,foreclosure_urgency,thin,closed foreclosure episodes; resolution evidence,stage detection ready; depth amounts 65-96 rows; ~1% payload coverage,usable with coverage gating; widen capture
F-137,deferred_maintenance_proxy,property_distress,ready,condition grade; effective-age gap; LENUTL/LENSWR episodes,tax delinquency + vacancy + municipal liens well covered,none — implementable in Phase 3
