feature_id,family,feature_name,plain_meaning,seller_hypothesis,raw_dependencies,formula_shape,output_type_units,valid_range,clipping_winsorization,asset_class_applicability,geo_normalization,market_comp_dependencies,time_behavior_decay,missing_handling,sentinel_handling,confidence_requirements,min_completeness,role,correlated_features,double_counting_risks,leakage_risks,explanation_text,verification_tests
F-011,financial_pressure,reverse_mortgage_presence,reverse mortgage: senior equity release; foreclosure risk on death of borrower,reverse-mortgage + death event predicts estate sale or foreclosure within months,property_loans.loan_type reverse group; senior_owner flag,boolean,ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,residential 1-4 unit,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,static until loan closes,absent = false-ish (recorded loans),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,contextual,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,Explains: reverse mortgage: senior equity release; foreclosure risk on death of borrower,T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-012,financial_pressure,person_financial_strain,"person-level strain tiers (credit, card balance, buying power)",debt burden relative to value/equity pushes owners toward liquidation,"people_profiles.agg_credit_tier, card_balance, buying_power(OD-5), spender_type, est_household_income band","ordinal tier combination, household-level",ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,profile-batch dated,unknown tiers stay unknown; income '$0' code = unknown (OD-7),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),valuation snapshot fresh <=180d,value + at least one debt component,contextual,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,"Explains: person-level strain tiers (credit, card balance, buying power)",T-05 blanket-loan; T-01 sentinels; T-02 impossible values
F-013,legal_title_pressure,open_lien_pressure,severity-weighted open lien stack (never equal weights),open claims against the owner create payoff-at-sale motivation,"property_liens rows with category groups, amounts, dates; releases netted; TotalOpenLienNbr checksum","per-lien severity class × amount-vs-value ratio × recency decay, aggregated",class-weighted count / ratio,>=0,per-episode amount ratio capped at 1.0 of value,all,lien base rates per county (recording practice varies),amounts relative to value (NORM §1),per-document dates with decay,"no lien rows = no known liens (weak-negative, coverage-gated)",registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),owner-side party match required (dedup §12),doc type + date present,direct,foreclosure urgency (LIS overlaps stage ladder),NOD/LIS documents must not count in BOTH lien pressure and foreclosure stage — IX-02 assigns them to stage,none,Explains: severity-weighted open lien stack (never equal weights),T-03 duplicate episodes; T-04 release netting
F-014,legal_title_pressure,litigation_pendency,lis pendens / judgments / orders open against owner,open claims against the owner create payoff-at-sale motivation,property_liens litigation group; lien_parties owner-side match,severity class with decay; releases close,class-weighted count / ratio,>=0,per-episode amount ratio capped at 1.0 of value,all,lien base rates per county (recording practice varies),amounts relative to value (NORM §1),document-dated,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),owner-side party match required (dedup §12),doc type + date present,direct,foreclosure urgency (LIS overlaps stage ladder),NOD/LIS documents must not count in BOTH lien pressure and foreclosure stage — IX-02 assigns them to stage,none,Explains: lis pendens / judgments / orders open against owner,T-03 duplicate episodes; T-04 release netting
F-015,legal_title_pressure,title_complexity,easements/leases/contracts/quiet-title/UCC clutter on title,open claims against the owner create payoff-at-sale motivation,"property_liens context groups; deed history (land contract, ground lease)","count-by-class, bucketed",class-weighted count / ratio,>=0,per-episode amount ratio capped at 1.0 of value,all,lien base rates per county (recording practice varies),amounts relative to value (NORM §1),slow-moving,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),owner-side party match required (dedup §12),doc type + date present,contextual,foreclosure urgency (LIS overlaps stage ladder),NOD/LIS documents must not count in BOTH lien pressure and foreclosure stage — IX-02 assigns them to stage,none,Explains: easements/leases/contracts/quiet-title/UCC clutter on title,T-03 duplicate episodes; T-04 release netting
F-016,legal_title_pressure,hoa_pressure,HOA lien evidence + fee burden,open claims against the owner create payoff-at-sale motivation,property_liens hoa rows + hoa_lien_amount; HOA fee value×frequency annualized; hoa_lien flag,annualized fee ratio + lien boolean,class-weighted count / ratio,>=0,per-episode amount ratio capped at 1.0 of value,condo/PUD primarily,lien base rates per county (recording practice varies),amounts relative to value (NORM §1),lien-dated,no HOA data = unknown (many properties have no HOA),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),owner-side party match required (dedup §12),doc type + date present,direct,foreclosure urgency (LIS overlaps stage ladder),NOD/LIS documents must not count in BOTH lien pressure and foreclosure stage — IX-02 assigns them to stage,none,Property is at foreclosure stage {stage}; auction {days} days away.,T-03 duplicate episodes; T-04 release netting
F-017,legal_title_pressure,support_or_government_lien,"support liens, federal/state tax liens, DOJ",open claims against the owner create payoff-at-sale motivation,property_liens SUP/FLN/SLN/LENDOJ,severity class (government creditors rank high),class-weighted count / ratio,>=0,per-episode amount ratio capped at 1.0 of value,all,lien base rates per county (recording practice varies),amounts relative to value (NORM §1),document-dated decay,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),owner-side party match required (dedup §12),doc type + date present,direct,foreclosure urgency (LIS overlaps stage ladder),NOD/LIS documents must not count in BOTH lien pressure and foreclosure stage — IX-02 assigns them to stage,none,"Explains: support liens, federal/state tax liens, DOJ",T-03 duplicate episodes; T-04 release netting
F-018,foreclosure_urgency,foreclosure_stage,stage ladder LIS/NOD → NOS/NTS → auction → REO,a running foreclosure clock forces a decision before auction,"property_foreclosure_events.document_type, default_date, auction_date; preforeclosure_type; flags corroborate",ordinal stage with hard gates,ordinal stage / days,stage 0-4; days>=0,days-to-auction floor 0,all,judicial vs non-judicial state timelines (NORM §3),default depth vs value/equity,urgency spikes as auction_date approaches; episode closes on resolution,no event = not in foreclosure (strong for covered markets),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),event payload present (1% coverage: absence = strong negative in covered lists),document_type + one date,direct,"legal_title_pressure (LIS), property_distress (bank_owned)",preforeclosure flags corroborate but never add to the stage score (IX-02),episode resolution dates must be as-of-guarded (T-10),Explains: stage ladder LIS/NOD → NOS/NTS → auction → REO,T-10; T-14 conflicting sources
F-019,foreclosure_urgency,days_to_auction,countdown to scheduled auction,a running foreclosure clock forces a decision before auction,property_foreclosure_events.auction_date,"inverse-days transform, clipped",ordinal stage / days,stage 0-4; days>=0,days-to-auction floor 0,all,judicial vs non-judicial state timelines (NORM §3),default depth vs value/equity,recomputed daily; past dates -> resolution check,unknown if no auction scheduled,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),event payload present (1% coverage: absence = strong negative in covered lists),document_type + one date,direct,"legal_title_pressure (LIS), property_distress (bank_owned)",preforeclosure flags corroborate but never add to the stage score (IX-02),episode resolution dates must be as-of-guarded (T-10),Explains: countdown to scheduled auction,T-10; T-14 conflicting sources
F-020,foreclosure_urgency,default_depth,unpaid balance / default amount vs value & equity,a running foreclosure clock forces a decision before auction,"property_foreclosure_events.unpaid_balance, auction_minimum_bid_amount; estimated_value",ratio with guards,ordinal stage / days,stage 0-4; days>=0,days-to-auction floor 0,all,judicial vs non-judicial state timelines (NORM §3),default depth vs value/equity,event-dated,unknown amounts stay unknown,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),event payload present (1% coverage: absence = strong negative in covered lists),document_type + one date,direct,"legal_title_pressure (LIS), property_distress (bank_owned)",preforeclosure flags corroborate but never add to the stage score (IX-02),episode resolution dates must be as-of-guarded (T-10),Explains: unpaid balance / default amount vs value & equity,T-10; T-14 conflicting sources
F-021,foreclosure_urgency,redemption_window,post-tax-sale/redemption activity (RED docs),a running foreclosure clock forces a decision before auction,property_liens RED/redemption docs; sold-for-taxes price qualifier,boolean with statutory-window decay,ordinal stage / days,stage 0-4; days>=0,days-to-auction floor 0,all,judicial vs non-judicial state timelines (NORM §3),default depth vs value/equity,document-dated,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),event payload present (1% coverage: absence = strong negative in covered lists),document_type + one date,direct,"legal_title_pressure (LIS), property_distress (bank_owned)",preforeclosure flags corroborate but never add to the stage score (IX-02),episode resolution dates must be as-of-guarded (T-10),Explains: post-tax-sale/redemption activity (RED docs),T-10; T-14 conflicting sources
F-022,property_distress,vacancy,vacant home / zombie property,a property the owner has stopped maintaining/paying on is a divestment candidate,property_signals.is_vacant (= vacant_home ∪ zombie flags); usps-style vendor flags,boolean with zombie escalation,boolean / years / ratio,per feature,tax-years-delinquent cap 15,all,tax-rate & municipal-lien practice per county,amounts vs value,batch-dated; staleness haircut,unknown if signal absent,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cross-source agreement raises tier (flag+scalar+doc),one affirmative signal,direct,foreclosure urgency; landlord fatigue (vacancy),vacancy counts once though visible in flag + scalar + zombie (IX-03),none,Explains: vacant home / zombie property,T-09 missing-vs-zero; T-14
F-023,property_distress,tax_delinquency,delinquent property taxes and depth in years,a property the owner has stopped maintaining/paying on is a divestment candidate,TaxDelinquent + TaxDelinquentYear + tax_delinquent flag; TaxAmt vs value,years-delinquent depth × amount ratio,boolean / years / ratio,per feature,tax-years-delinquent cap 15,all,tax-rate & municipal-lien practice per county,amounts vs value,deepens annually until cured,No = not delinquent (well covered),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cross-source agreement raises tier (flag+scalar+doc),one affirmative signal,direct,foreclosure urgency; landlord fatigue (vacancy),vacancy counts once though visible in flag + scalar + zombie (IX-03),none,Explains: delinquent property taxes and depth in years,T-09 missing-vs-zero; T-14
F-024,property_distress,utility_municipal_liens,county/city/utility/sewer liens = occupancy & maintenance distress,a property the owner has stopped maintaining/paying on is a divestment candidate,property_liens LENCNT/LENUTL/LENSWR/LENCTY,count and amount-ratio by class with decay,boolean / years / ratio,per feature,tax-years-delinquent cap 15,all,tax-rate & municipal-lien practice per county,amounts vs value,document-dated,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cross-source agreement raises tier (flag+scalar+doc),one affirmative signal,direct,foreclosure urgency; landlord fatigue (vacancy),vacancy counts once though visible in flag + scalar + zombie (IX-03),none,Explains: county/city/utility/sewer liens = occupancy & maintenance distress,T-09 missing-vs-zero; T-14
F-025,property_distress,condition_grade,assessor condition/quality below market norm,a property the owner has stopped maintaining/paying on is a divestment candidate,"building_condition (ordinal), building_quality grade; effective vs actual year built gap",ordinal distance from local median,boolean / years / ratio,per feature,tax-years-delinquent cap 15,all except vacant land,tax-rate & municipal-lien practice per county,amounts vs value,slow-moving; assessor-cycle dated,"Unknown condition is its own state (4,664 rows)",registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cross-source agreement raises tier (flag+scalar+doc),one affirmative signal,direct,foreclosure urgency; landlord fatigue (vacancy),vacancy counts once though visible in flag + scalar + zombie (IX-03),none,Explains: assessor condition/quality below market norm,T-09 missing-vs-zero; T-14
F-026,physical_obsolescence,effective_age,age with renovation credit (effective_year_built vs year_built),capital-expenditure burden owners cannot fund creates as-is sellers,year_built; EffectiveYearBuilt,effective-age years; renovation gap as separate signal,ordinal distance / years / class,per feature,effective-age cap 150y,all except vacant land,vs neighborhood/cohort norms (NORM §2),renovated-comp spread for repair headroom,ages annually,unknown if both missing,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),assessor data vintage known,condition OR age present,direct,property_distress condition grade; discount headroom,condition feeds both distress and repair-burden — split: state vs cost (IX-04),none,Explains: age with renovation credit (effective_year_built vs year_built),T-02; T-12 asset routing
F-027,physical_obsolescence,systems_obsolescence,heating/AC/roof/construction proxies for cap-ex burden,capital-expenditure burden owners cannot fund creates as-is sellers,"heating type/fuel, AC presence-type, roof cover/type, construction, basement finish",categorical cap-ex classes summed by system,ordinal distance / years / class,per feature,effective-age cap 150y,residential 1-4 unit,vs neighborhood/cohort norms (NORM §2),renovated-comp spread for repair headroom,slow-moving,presence-only 'Yes' = present-type-unknown; missing = unknown,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),assessor data vintage known,condition OR age present,contextual,property_distress condition grade; discount headroom,condition feeds both distress and repair-burden — split: state vs cost (IX-04),none,Explains: heating/AC/roof/construction proxies for cap-ex burden,T-02; T-12 asset routing
F-028,physical_obsolescence,functional_layout_deficit,beds/baths/size out of step with local norms,capital-expenditure burden owners cannot fund creates as-is sellers,"total_bedrooms/baths (outlier-guarded), building_square_feet, stories, units_count",distance from local product norm,ordinal distance / years / class,per feature,effective-age cap 150y,residential 1-4 unit,vs neighborhood/cohort norms (NORM §2),renovated-comp spread for repair headroom,static,unknown stays unknown; 0 beds on MF = data artifact,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),assessor data vintage known,condition OR age present,contextual,property_distress condition grade; discount headroom,condition feeds both distress and repair-burden — split: state vs cost (IX-04),none,Explains: beds/baths/size out of step with local norms,T-02; T-12 asset routing
F-029,physical_obsolescence,repair_cost_baseline,DealMachine repair estimate — baseline only (rule 9),capital-expenditure burden owners cannot fund creates as-is sellers,estimated_repair_cost(_per_sqft) [keep_baseline],"baseline comparison only, never canonical",ordinal distance / years / class,per feature,effective-age cap 150y,residential 1-4 unit,vs neighborhood/cohort norms (NORM §2),renovated-comp spread for repair headroom,vendor-dated,absent fine,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),assessor data vintage known,condition OR age present,confidence_only,property_distress condition grade; discount headroom,condition feeds both distress and repair-burden — split: state vs cost (IX-04),none,Explains: DealMachine repair estimate — baseline only (rule 9),T-02; T-12 asset routing
F-030,landlord_fatigue,tired_landlord_composite,absentee + tenure + tenant-class + fatigue flags,"distant/tired landlords with old, worn rentals exit below retail",tired_landlord flag; absentee/out_of_state; renter person-links; length of ownership; eviction-adjacent liens,flag corroborated by structural evidence (never flag alone),composite class,ordinal 0-4,distance bands capped at out-of-state,1-4 unit rental + small MF,distance computed geodesically; rental-market context,local rent context (NORM §1),batch-dated flags + slow structure,flag absent ≠ not fatigued,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),requires confirmed rental (renter link or absentee+units),occupancy evidence,direct,seller_propensity tenure; portfolio behavior,absentee counts once though present as flag+owner_location+distance (IX-05),none,Explains: absentee + tenure + tenant-class + fatigue flags,T-08
F-031,landlord_fatigue,owner_distance,distance from owner mailing address to property,"distant/tired landlords with old, worn rentals exit below retail",owner_address_* geocoded vs property lat/long; out_of_state_owner flag,distance bands (local/regional/out-of-state),composite class,ordinal 0-4,distance bands capped at out-of-state,rentals primarily,distance computed geodesically; rental-market context,local rent context (NORM §1),changes on mailing-address change,unknown if owner address bad,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),requires confirmed rental (renter link or absentee+units),occupancy evidence,contextual,seller_propensity tenure; portfolio behavior,absentee counts once though present as flag+owner_location+distance (IX-05),none,Explains: distance from owner mailing address to property,T-08
F-032,landlord_fatigue,assignment_of_rents_activity,ASR filings = leveraged rental context; releases = deleveraging,"distant/tired landlords with old, worn rentals exit below retail",property_liens ASR/ASRREL/ASRASN,directional event evidence,composite class,ordinal 0-4,distance bands capped at out-of-state,rental assets,distance computed geodesically; rental-market context,local rent context (NORM §1),document-dated,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),requires confirmed rental (renter link or absentee+units),occupancy evidence,contextual,seller_propensity tenure; portfolio behavior,absentee counts once though present as flag+owner_location+distance (IX-05),none,Explains: ASR filings = leveraged rental context; releases = deleveraging,T-08
F-033,portfolio_behavior,portfolio_scale,total properties owned (robust-capped),owners already liquidating or over-levered across holdings sell additional assets,"owner_portfolio_holdings.portfolio_total_properties_owned (cap guards), other_property_count, linked_properties",log-bucketed count,log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),batch snapshot,unknown ≠ 1 property,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),holdings link_kind=confirmed only; tiebreak excluded,portfolio snapshot present,contextual,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,Explains: total properties owned (robust-capped),T-01 (corrupted magnitudes); T-02
F-034,portfolio_behavior,portfolio_leverage,portfolio-wide equity vs mortgage balance (garbage-guarded ±$15B),owners already liquidating or over-levered across holdings sell additional assets,portfolio_total_equity / portfolio_total_mortgage_balance / portfolio_value with robust clipping,winsorized ratio,log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),batch snapshot,unknown on guard trip,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),holdings link_kind=confirmed only; tiebreak excluded,portfolio snapshot present,contextual,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,Explains: portfolio-wide equity vs mortgage balance (garbage-guarded ±$15B),T-01 (corrupted magnitudes); T-02
