feature_id,dependency,eligibility_class,rationale
F-043,matching evidence,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-044,individual_key presence,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-045,cross-source repeats,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-046,contact channels / profile,current_state_only,"phones, emails, DNC, language are scrape-time state"
F-047,contact channels / profile,current_state_only,"phones, emails, DNC, language are scrape-time state"
F-048,contact channels / profile,current_state_only,"phones, emails, DNC, language are scrape-time state"
F-049,contact channels / profile,current_state_only,"phones, emails, DNC, language are scrape-time state"
F-050,lien amounts (dated),historically_reconstructable,recorded document with event date; later snapshots preserve it — date-filter at as-of
F-050,estimated_equity,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-051,deed type groups (dated),historically_reconstructable,recorded document with event date; later snapshots preserve it — date-filter at as-of
F-052,renovated-comp spread,unknown,comp snapshot v2
F-053,blocker evidence mix,current_state_only,renter/entity/estate gates are current-state
F-054,occupancy evidence,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-055,free_and_clear flag + seller-finance history,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed (history part dated)
F-056,immutable comp/market snapshot at historical as-of,reconstructable_only_with_event_history,eligible ONLY when a snapshot dated at-or-before the historical as-of exists; never recompute retroactively
F-057,immutable comp/market snapshot at historical as-of,reconstructable_only_with_event_history,eligible ONLY when a snapshot dated at-or-before the historical as-of exists; never recompute retroactively
F-058,immutable comp/market snapshot at historical as-of,reconstructable_only_with_event_history,eligible ONLY when a snapshot dated at-or-before the historical as-of exists; never recompute retroactively
F-130,immutable comp/market snapshot at historical as-of,reconstructable_only_with_event_history,eligible ONLY when a snapshot dated at-or-before the historical as-of exists; never recompute retroactively
F-059,buyer exit labels,unknown,not produced
F-060,comp snapshot + payoff,reconstructable_only_with_event_history,snapshot-dated only
F-060,loan balances,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-061,comp snapshot + payoff,reconstructable_only_with_event_history,snapshot-dated only
F-061,loan balances,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-062,comp snapshot + payoff,reconstructable_only_with_event_history,snapshot-dated only
F-062,loan balances,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-101,vendor checksums vs slots,current_state_only,"quality features describe the batch, not history"
F-102,vendor checksums vs slots,current_state_only,"quality features describe the batch, not history"
F-103,vendor checksums vs slots,current_state_only,"quality features describe the batch, not history"
F-104,classification sources,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-105,portfolio magnitudes,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-110,matching_flags tokens,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-111,scalar liveness,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-112,renter flag,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-113,batch population metrics,current_state_only,batch-descriptive
F-120,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-121,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-122,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-123,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-124,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-125,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-126,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-127,vendor profile tiers,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-131,TaxAmt,current_state_only,tax year known but amount is current assessment
F-131,estimated_value,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-132,renovated-comp spread,unknown,comp snapshot v2
F-133,"acquisition price (dated, qualifier-gated)",historically_reconstructable,recorded document with event date; later snapshots preserve it — date-filter at as-of
F-133,estimated_value,current_state_only,vendor current-state enrichment; reflects scrape-time state and CANNOT be backdated merely because the property existed
F-134,acquisition-adjacent loan records (dated),historically_reconstructable,recorded document with event date; later snapshots preserve it — date-filter at as-of
F-135,release documents (dated),historically_reconstructable,recorded document with event date; later snapshots preserve it — date-filter at as-of
F-136,foreclosure event history,reconstructable_only_with_event_history,reconstructable only from multi-vintage batch history (appearance/disappearance across captures)
F-137,condition + municipal liens + vacancy,current_state_only,condition/vacancy current-state (lien part dated)
